,Country Code,year,pib,total_medals
577,POL,2008,0.020964594820026352,12
578,PRK,2008,0.07866995627058665,6
579,ROU,2008,0.008413896621210261,10
580,RUS,2008,0.0652756658263722,67
581,SGP,2008,0.007600203823667674,1
582,SRB,2008,0.0020409945210518275,3
583,SVK,2008,0.003954782930637919,7
584,SWE,2008,0.020339831141369103,7
585,THA,2008,0.011443280042683563,6
586,TJK,2008,0.00019217454570283568,2
587,TTO,2008,0.0010848946202686993,2
588,TUN,2008,0.0017526711472967901,1
589,TUR,2008,0.030274920425665153,5
590,UKR,2008,0.007383731464870612,23
591,USA,2008,0.5805785297443354,116
592,UZB,2008,0.0011508493880631717,4
593,VEN,2008,0.012409119626510399,1
594,AUS,2010,0.04515108331383859,3
595,AUT,2010,0.015409254700929388,17
596,BLR,2010,0.0022390211107718994,3
597,CAN,2010,0.06356553729464513,29
598,CHN,2010,0.2392710785208517,13
599,CZE,2010,0.00820763169984432,6
600,EST,2010,0.0007567382566710249,1
601,FIN,2010,0.00979392407362189,5
602,FRA,2010,0.1039691397026832,11
603,GBR,2010,0.09769127492507414,1
604,ITA,2010,0.08395737148714914,5
605,JPN,2010,0.22637299040202682,5
606,KAZ,2010,0.005808890898901824,1
607,KOR,2010,0.04494597024120733,14
608,NOR,2010,0.0169335435893276,24
609,POL,2010,0.01868847576995077,6
610,RUS,2010,0.05993233241126335,19
611,SVK,2010,0.003572814167365006,3
612,SWE,2010,0.019479214669214696,12
613,USA,2010,0.5915499453896997,39
614,AFG,2012,0.0007718271410491288,1
615,ARG,2012,0.021451343045009202,5
616,ARM,2012,0.0004067242227887327,2
617,AUS,2012,0.0608259500250787,40
618,AZE,2012,0.002728341869113894,10
619,BEL,2012,0.019492592371259047,3
620,BLR,2012,0.002571339355451778,13
621,BRA,2012,0.09689507803091757,20
622,BRN,2012,0.0007380651169295545,1
623,CAN,2012,0.07186065769177616,20
624,CHN,2012,0.33538148171013427,102
625,CMR,2012,0.001174655876837087,1
626,COL,2012,0.014560809343311413,9
627,CUB,2012,0.002864392709658443,15
628,CYP,2012,0.0009711226644322368,1
629,CZE,2012,0.008199289466417929,12
630,DOM,2012,0.0023746228694282575,2
631,EGY,2012,0.010961102691832215,4
632,ESP,2012,0.05206399589249686,21
633,EST,2012,0.0008941498687874122,2
634,ETH,2012,0.0016917924782510804,7
635,FIN,2012,0.010142428355305832,3
636,FRA,2012,0.10548190310250163,38
637,GAB,2012,0.0006642435136751556,1
638,GBR,2012,0.1064024430650303,77
639,GEO,2012,0.0006374488244333356,6
640,HKG,2012,0.010312982730011714,1
641,HUN,2012,0.005052857025206286,20
642,IND,2012,0.07183200568165905,6
643,IRL,2012,0.008838494058567962,6
644,ITA,2012,0.08202563389618325,29
645,JAM,2012,0.0005713413656399063,12
646,JPN,2012,0.24654998640069997,39
647,KAZ,2012,0.008165517069043867,11
648,KEN,2012,0.0022061901883407035,12
649,KOR,2012,0.050228097564268104,31
650,LTU,2012,0.0016767266076671726,5
651,MAR,2012,0.004192897146203433,1
652,MEX,2012,0.04932650056348995,10
653,MNE,2012,0.00014996551867137308,1
654,NOR,2012,0.020146083095815562,4
655,NZL,2012,0.006915806983001495,19
656,POL,2012,0.019456335413100767,13
657,PRK,2012,0.09459206704846965,7
658,QAT,2012,0.007333538185311118,2
659,ROU,2012,0.007030834470143738,7
660,RUS,2012,0.08679523403776614,73
661,SGP,2012,0.011589112948871317,2
662,SRB,2012,0.0016917347531695869,4
663,SVK,2012,0.0037088586897429084,5
664,SWE,2012,0.02170690506891637,9
665,THA,2012,0.015616933038725704,4
666,TJK,2012,0.0002893361913323337,1
667,TTO,2012,0.0010637854271065598,4
668,TUN,2012,0.0018490554668504802,3
669,TUR,2012,0.034603113447484776,3
670,UGA,2012,0.0010626586073507324,1
671,UKR,2012,0.007166799034718835,19
672,USA,2012,0.6389176695844831,112
673,UZB,2012,0.002643332279522039,2
674,VEN,2012,0.014977292566310666,1
675,AUS,2014,0.057718484430838365,3
676,AUT,2014,0.01738688206719804,18
677,BLR,2014,0.003087346038175321,6
678,CAN,2014,0.07097162026858148,27
679,CHN,2014,0.4117762654282931,9
680,CZE,2014,0.008218987819907576,8
681,FIN,2014,0.010793888241242796,7
682,FRA,2014,0.1122545701191055,15
